src,dst
R-HSA-9764561|Regulation of CDH1 Function,R-HSA-9766229|Degradation of CDH1
R-HSA-9768759|Regulation of NPAS4 gene expression,R-HSA-9768778|Regulation of NPAS4 mRNA translation
R-HSA-9772572|Early SARS-CoV-2 Infection Events,R-HSA-9694614|Attachment and Entry
R-HSA-9772573|Late SARS-CoV-2 Infection Events,R-HSA-9694635|Translation of Structural Proteins
R-HSA-977443|GABA receptor activation,R-HSA-977444|GABA B receptor activation
R-HSA-977444|GABA B receptor activation,R-HSA-991365|Activation of GABAB receptors
R-HSA-9793380|Formation of paraxial mesoderm,R-HSA-9824272|Somitogenesis
R-HSA-9816359|Maternal to zygotic transition (MZT),R-HSA-9820841|M-decay: degradation of maternal mRNAs by maternally stored factors
R-HSA-9816359|Maternal to zygotic transition (MZT),R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT)
R-HSA-9818564|Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,R-HSA-9851695|Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes
R-HSA-9820952|Respiratory Syncytial Virus Infection Pathway,R-HSA-9820960|Respiratory syncytial virus (RSV) attachment and entry
R-HSA-9820952|Respiratory Syncytial Virus Infection Pathway,"R-HSA-9820965|Respiratory syncytial virus (RSV) genome replication, transcription and translation"
R-HSA-9820952|Respiratory Syncytial Virus Infection Pathway,R-HSA-9833110|RSV-host interactions
"R-HSA-9820965|Respiratory syncytial virus (RSV) genome replication, transcription and translation",R-HSA-9828806|Maturation of hRSV A proteins
R-HSA-9824439|Bacterial Infection Pathways,R-HSA-5339562|Uptake and actions of bacterial toxins
R-HSA-9824439|Bacterial Infection Pathways,R-HSA-8876384|Listeria monocytogenes entry into host cells
R-HSA-9824439|Bacterial Infection Pathways,R-HSA-9635486|Infection with Mycobacterium tuberculosis
R-HSA-9824439|Bacterial Infection Pathways,R-HSA-9640148|Infection with Enterobacteria
R-HSA-9824443|Parasitic Infection Pathways,R-HSA-9658195|Leishmania infection
R-HSA-983169|Class I MHC mediated antigen processing & presentation,R-HSA-1236975|Antigen processing-Cross presentation
R-HSA-983169|Class I MHC mediated antigen processing & presentation,R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
R-HSA-983169|Class I MHC mediated antigen processing & presentation,"R-HSA-983170|Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
R-HSA-983231|Factors involved in megakaryocyte development and platelet production,R-HSA-983189|Kinesins
R-HSA-9833110|RSV-host interactions,R-HSA-9833109|Evasion by RSV of host interferon responses
R-HSA-983705|Signaling by the B Cell Receptor (BCR),R-HSA-1168372|Downstream signaling events of B Cell Receptor (BCR)
R-HSA-983705|Signaling by the B Cell Receptor (BCR),R-HSA-983695|Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
R-HSA-983712|Ion channel transport,R-HSA-2672351|Stimuli-sensing channels
R-HSA-983712|Ion channel transport,R-HSA-936837|Ion transport by P-type ATPases
R-HSA-9839373|Signaling by TGFBR3,R-HSA-9839394|TGFBR3 expression
R-HSA-9839923|Dengue Virus Infection,R-HSA-9918481|Dengue Virus-Host Interactions
R-HSA-9839923|Dengue Virus Infection,R-HSA-9918485|Dengue Virus Attachment and Entry
R-HSA-9839923|Dengue Virus Infection,R-HSA-9918487|Dengue Virus Genome Translation and Replication
R-HSA-9842860|Regulation of endogenous retroelements,R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins
R-HSA-9842860|Regulation of endogenous retroelements,R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)
R-HSA-9843743|Transcriptional regulation of brown and beige adipocyte differentiation,R-HSA-9844594|Transcriptional regulation of brown and beige adipocyte differentiation by EBF2
R-HSA-9843745|Adipogenesis,R-HSA-381340|Transcriptional regulation of white adipocyte differentiation
R-HSA-9843745|Adipogenesis,R-HSA-9843743|Transcriptional regulation of brown and beige adipocyte differentiation
R-HSA-9851695|Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
R-HSA-9855142|Cellular responses to mechanical stimuli,R-HSA-9856532|Mechanical load activates signaling by PIEZO1 and integrins in osteocytes
R-HSA-9855142|Cellular responses to mechanical stimuli,R-HSA-9860931|Response of endothelial cells to shear stress
R-HSA-9856651|MITF-M-dependent gene expression,R-HSA-9824585|Regulation of MITF-M-dependent genes involved in pigmentation
R-HSA-9856651|MITF-M-dependent gene expression,R-HSA-9824594|Regulation of MITF-M-dependent genes involved in apoptosis
R-HSA-9856651|MITF-M-dependent gene expression,R-HSA-9825892|Regulation of MITF-M-dependent genes involved in cell cycle and proliferation
R-HSA-9856651|MITF-M-dependent gene expression,R-HSA-9857377|Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy
R-HSA-9860931|Response of endothelial cells to shear stress,R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
R-HSA-9860931|Response of endothelial cells to shear stress,"R-HSA-9860927|Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells"
R-HSA-9909396|Circadian clock,"R-HSA-1368108|BMAL1:CLOCK,NPAS2 activates circadian expression"
R-HSA-9909396|Circadian clock,"R-HSA-9931509|Expression of BMAL (ARNTL), CLOCK, and NPAS2"
R-HSA-9909396|Circadian clock,R-HSA-9931510|Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes
R-HSA-9909396|Circadian clock,R-HSA-9932298|Degradation of CRY and PER proteins
R-HSA-9909396|Circadian clock,"R-HSA-9933387|RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression"
R-HSA-9909615|Regulation of PD-L1(CD274) Post-translational modification,R-HSA-9929356|GSK3B-mediated proteasomal degradation of PD-L1(CD274)
R-HSA-9909615|Regulation of PD-L1(CD274) Post-translational modification,R-HSA-9929491|SPOP-mediated proteasomal degradation of PD-L1(CD274)
R-HSA-9909615|Regulation of PD-L1(CD274) Post-translational modification,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
R-HSA-9909615|Regulation of PD-L1(CD274) Post-translational modification,R-HSA-9931295|PD-L1(CD274) glycosylation and translocation to plasma membrane
R-HSA-9909648|Regulation of PD-L1(CD274) expression,R-HSA-9909615|Regulation of PD-L1(CD274) Post-translational modification
R-HSA-9909648|Regulation of PD-L1(CD274) expression,R-HSA-9909620|Regulation of PD-L1(CD274) translation
R-HSA-9909648|Regulation of PD-L1(CD274) expression,R-HSA-9909649|Regulation of PD-L1(CD274) transcription
R-HSA-991365|Activation of GABAB receptors,R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits
R-HSA-9917777|Epigenetic regulation by WDR5-containing histone modifying complexes,R-HSA-9772755|Formation of WDR5-containing histone-modifying complexes
R-HSA-9917777|Epigenetic regulation by WDR5-containing histone modifying complexes,R-HSA-9818564|Epigenetic regulation of gene expression by MLL3 and MLL4 complexes
R-HSA-9918481|Dengue Virus-Host Interactions,R-HSA-9920588|Dengue virus activates/modulates innate and adaptive immune responses
R-HSA-9918481|Dengue Virus-Host Interactions,R-HSA-9920951|Dengue virus modulates apoptosis
R-HSA-9918487|Dengue Virus Genome Translation and Replication,R-HSA-9918432|Maturation of DENV proteins
R-HSA-9945266|Differentiation of T cells,R-HSA-9942503|Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells)
R-HSA-9948299|Ribosome-associated quality control,R-HSA-9954709|Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide
R-HSA-9948299|Ribosome-associated quality control,R-HSA-9954714|PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
R-HSA-9948299|Ribosome-associated quality control,R-HSA-9954716|ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
R-HSA-9958863|SLC-mediated transport of amino acids,R-HSA-352230|Amino acid transport across the plasma membrane
