src,dst
R-HSA-177929|Signaling by EGFR,R-HSA-182971|EGFR downregulation
R-HSA-1793185|Chondroitin sulfate/dermatan sulfate metabolism,R-HSA-2022870|CS-GAG biosynthesis
R-HSA-1793185|Chondroitin sulfate/dermatan sulfate metabolism,R-HSA-2024101|CS/DS degradation
R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-174184|Cdc20:Phospho-APC/C mediated degradation of Cyclin A
R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
R-HSA-180786|Extension of Telomeres,R-HSA-171319|Telomere Extension By Telomerase
R-HSA-180786|Extension of Telomeres,R-HSA-174417|Telomere C-strand (Lagging Strand) Synthesis
R-HSA-181438|Toll Like Receptor 2 (TLR2) Cascade,R-HSA-168179|Toll Like Receptor TLR1:TLR2 Cascade
R-HSA-181438|Toll Like Receptor 2 (TLR2) Cascade,R-HSA-168188|Toll Like Receptor TLR6:TLR2 Cascade
R-HSA-1839124|FGFR1 mutant receptor activation,R-HSA-1839117|Signaling by cytosolic FGFR1 fusion mutants
R-HSA-1852241|Organelle biogenesis and maintenance,R-HSA-1592230|Mitochondrial biogenesis
R-HSA-1852241|Organelle biogenesis and maintenance,R-HSA-5617833|Cilium Assembly
R-HSA-186712|Regulation of beta-cell development,R-HSA-210744|Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
R-HSA-186797|Signaling by PDGF,R-HSA-186763|Downstream signal transduction
R-HSA-187037|Signaling by NTRK1 (TRKA),R-HSA-187687|Signalling to ERKs
R-HSA-187037|Signaling by NTRK1 (TRKA),R-HSA-198203|PI3K/AKT activation
R-HSA-187037|Signaling by NTRK1 (TRKA),R-HSA-198725|Nuclear Events (kinase and transcription factor activation)
R-HSA-187687|Signalling to ERKs,R-HSA-167044|Signalling to RAS
R-HSA-190236|Signaling by FGFR,R-HSA-5654736|Signaling by FGFR1
R-HSA-190236|Signaling by FGFR,R-HSA-5654738|Signaling by FGFR2
R-HSA-190236|Signaling by FGFR,R-HSA-5654741|Signaling by FGFR3
R-HSA-190236|Signaling by FGFR,R-HSA-5654743|Signaling by FGFR4
R-HSA-190828|Gap junction trafficking,R-HSA-190861|Gap junction assembly
R-HSA-190861|Gap junction assembly,R-HSA-190872|Transport of connexons to the plasma membrane
R-HSA-190872|Transport of connexons to the plasma membrane,R-HSA-190840|Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
R-HSA-1912422|Pre-NOTCH Expression and Processing,R-HSA-1912408|Pre-NOTCH Transcription and Translation
R-HSA-1912422|Pre-NOTCH Expression and Processing,R-HSA-1912420|Pre-NOTCH Processing in Golgi
R-HSA-191273|Cholesterol biosynthesis,R-HSA-9969896|Lanosterol biosynthesis
R-HSA-192105|Synthesis of bile acids and bile salts,R-HSA-193368|Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
